gr,recn,yearStart,yearEnd
SU78,9,1942,2024
TL01,1,1966,1966
SU97,7,1966,2024
SU98,40,1968,2024
SP91,128,1973,2024
SP80,254,1973,2024
TQ08,16,1976,2023
SU88,15,1976,2023
SU89,71,1978,2024
SU99,75,1979,2024
SP61,32,1980,2024
TQ09,5,1980,2021
SP83,71,1981,2023
SP81,71,1982,2024
SU79,14,1993,2024
SP90,110,1995,2024
SP72,17,1999,2022
SP73,15,1999,2022
SP70,7,2000,2023
SP95,3,2001,2023
SP63,17,2001,2024
SP71,18,2007,2023
SP85,12,2007,2024
SP62,12,2007,2023
SP74,7,2007,2022
SP92,41,2017,2024
TQ07,5,2017,2019
SP51,1,2017,2017
SP84,122,2018,2024
SP93,6,2019,2024
SP82,2,2020,2020
SP94,10,2021,2023
SP60,1,2022,2022
