gr,recn,yearStart,yearEnd
SU97,2,1977,1984
SU89,16,1978,2024
SU99,10,1979,2024
SP61,15,1984,2022
SU98,4,1986,2024
SU88,10,1986,2023
SP51,2,1986,2017
TQ07,5,1986,2017
SP80,30,1987,2024
SP70,5,1987,2020
SP90,20,1990,2023
TQ08,8,1991,2018
SP91,39,1993,2024
SP85,3,1995,2007
SP83,5,1996,2022
SP84,35,1996,2024
SU79,9,2004,2024
SP81,20,2007,2024
SP63,2,2007,2021
SP72,14,2011,2024
SP71,3,2016,2020
SP82,2,2017,2024
SP62,3,2018,2020
SP73,1,2021,2021
SP92,1,2021,2021
SP94,5,2022,2024
