gr,recn,yearStart,yearEnd
SU9783,1,1967,1967
SU9782,1,1967,1967
SU8188,1,1979,1979
SP6310,2,1980,1991
TQ0298,2,1983,1983
SU8295,1,1986,1986
SU8294,1,1986,1986
TQ0072,2,1987,1987
SU9972,1,1989,1989
TQ0585,1,1991,1991
TQ0586,2,1991,1996
SP8334,1,1996,1996
SP8440,1,1996,1996
SP8236,2,1996,1996
SP9009,5,2003,2019
SP9008,4,2003,2022
SU8992,1,2003,2003
SP8509,1,2003,2003
SP9414,1,2005,2005
SP8611,1,2006,2006
SP8206,6,2008,2021
SP8810,1,2008,2008
SP7225,1,2008,2008
SP6715,3,2009,2017
SU8892,1,2012,2012
SU9690,1,2013,2013
SP8112,1,2014,2014
SU9297,1,2015,2015
SU9397,1,2015,2015
SP9713,2,2015,2022
SU8598,2,2017,2017
SP5914,1,2017,2017
SP6111,2,2017,2018
SP6919,1,2018,2018
SP7021,1,2018,2018
TQ0482,1,2018,2018
TL0012,1,2019,2019
SP8909,2,2020,2022
SP7809,2,2020,2020
SP9046,5,2022,2022
SP8846,6,2022,2024
SU9584,1,2022,2022
SP8746,1,2022,2022
SU7897,1,2022,2022
SP9314,1,2023,2023
SP8303,1,2024,2024
SP9129,1,2024,2024
