gr,recn,yearStart,yearEnd
SU9984,1,1968,1968
SP8809,2,1973,2023
TQ0586,1,1976,1976
SU8594,1,1978,1978
SU8297,5,1978,2023
SU8298,9,1978,2024
SP8607,2,1979,2019
SU9797,5,1979,1981
SP6310,2,1980,1991
TQ0184,1,1980,1980
SU9896,11,1980,1983
SP8439,5,1981,2022
SP6014,4,1982,2019
SP8313,1,1982,1982
SP8305,11,1982,2021
SP6714,1,1984,1984
SP6615,3,1984,2019
SU9485,4,1986,1986
SU9185,2,1986,1986
SU7386,1,1987,1987
SP6616,1,1990,1990
SP9314,51,1992,2024
SU8186,9,1992,2017
SP8908,1,1992,1992
SP8810,7,1992,2024
SU7995,4,1993,2024
SU9196,2,1993,2000
SP9009,55,1995,2024
SP7023,1,1999,1999
SP7020,1,1999,1999
SP9008,30,1999,2024
SU9386,1,1999,1999
SP7736,2,1999,1999
SP8202,5,1999,2023
SP7933,1,2000,2000
SP7208,1,2000,2000
SP9255,1,2001,2001
SP6531,3,2001,2018
SP9206,1,2002,2002
SU7799,1,2002,2002
TQ0182,1,2004,2004
SP8203,8,2006,2021
SP8204,15,2006,2023
SP8808,2,2006,2024
SP8909,64,2006,2024
SP7803,1,2006,2006
SP8507,1,2006,2006
SP7017,2,2007,2008
SP7117,3,2007,2022
SU8497,4,2007,2024
SU9195,1,2007,2007
SP8150,4,2007,2018
SP6228,1,2007,2007
SP7241,1,2007,2007
SP8206,57,2007,2024
SP7221,3,2008,2020
SP7016,1,2008,2008
SP7121,6,2008,2022
SP8837,13,2008,2018
SP8205,33,2009,2024
SU9693,1,2010,2010
SP8104,2,2012,2020
SP8835,1,2012,2012
SU9494,2,2013,2013
SU8196,1,2013,2013
SP8000,3,2013,2022
SU8993,1,2013,2013
SP8112,19,2014,2020
SP8310,1,2014,2014
SU8294,1,2014,2014
SP8406,4,2014,2023
SU9690,1,2014,2014
SP8003,1,2014,2014
SP8737,1,2015,2015
SP8105,5,2015,2023
SP8811,3,2015,2015
SU9692,2,2015,2017
SU9477,1,2015,2015
SU8595,1,2015,2015
SU8695,1,2015,2015
SP8836,1,2015,2015
SU7898,3,2015,2023
SU9993,2,2015,2019
SU8586,3,2016,2023
SU9187,18,2016,2024
SP6015,1,2016,2016
SP9601,13,2016,2024
SP8414,1,2016,2016
SP8802,1,2016,2016
SU8699,2,2016,2017
SP9315,2,2017,2017
SP6721,4,2017,2022
SP7433,1,2017,2017
SP6111,11,2017,2024
SP8212,9,2017,2022
SU9290,1,2017,2017
SP9025,17,2017,2020
SP9216,1,2017,2017
SP8304,4,2017,2022
SP9502,1,2017,2017
TQ0174,1,2017,2017
SP8401,5,2017,2022
SP5914,1,2017,2017
SP6715,2,2017,2019
SP9414,17,2018,2023
SP8709,1,2018,2018
SP9618,1,2018,2018
SP6638,2,2018,2018
SP7940,5,2018,2022
SP8619,4,2018,2023
SP7914,1,2018,2018
SP8142,2,2018,2020
SP9812,1,2018,2018
SP8151,1,2018,2018
SP9713,3,2018,2022
SP9814,2,2018,2022
SP8050,2,2018,2019
SP6919,1,2018,2018
SP6921,3,2018,2023
SP8311,2,2019,2020
TQ0175,1,2019,2019
SP6927,1,2019,2019
SP6737,4,2019,2024
SU8791,1,2019,2019
SP9129,5,2019,2024
SP7728,1,2019,2019
TQ0486,1,2019,2019
SP7027,2,2019,2022
TQ0386,6,2019,2023
SU8393,11,2019,2023
SP7912,7,2019,2020
SP8335,2,2019,2021
SU9681,1,2019,2019
SP8213,3,2019,2024
SU8299,3,2019,2021
SU8199,1,2019,2019
SU8198,1,2019,2019
SP9230,4,2019,2022
TQ0489,1,2019,2019
SP8436,4,2019,2022
SP8437,2,2019,2020
SP6532,1,2019,2019
SP9214,9,2019,2024
SU9583,1,2019,2019
SP8707,1,2019,2019
TQ0091,1,2019,2019
SP7316,2,2019,2023
TQ0173,1,2019,2019
SP9516,6,2019,2022
TQ0172,1,2019,2019
SP8342,1,2019,2019
TQ0075,1,2019,2019
SP7034,4,2019,2022
SP6110,3,2020,2023
SP8208,1,2020,2020
SP8312,3,2020,2020
SP8109,1,2020,2020
SP8207,2,2020,2020
