gr,recn,yearStart,yearEnd
SU8297,2,1978,2020
SU8298,1,1978,1978
SU9191,1,1979,1979
SP6615,1,1984,1985
SP6918,2,1985,2021
SU9185,2,1986,1986
SU8084,2,1986,1986
SP5914,2,1986,2017
TQ0175,3,1986,2017
TQ0174,1,1986,1986
SP6215,3,1986,1986
SP8609,4,1987,2002
SP7702,3,1987,1987
SP9009,8,1990,2022
TQ0586,3,1991,1996
TQ0585,1,1991,1991
SU8186,4,1993,1994
SP9314,15,1993,2024
SP9414,6,1994,2022
SP8334,1,1996,1996
SP8236,1,1996,1996
SP8440,1,1996,1996
SU8497,1,1996,1996
SP8509,2,2002,2003
SU7392,1,2004,2004
SP9008,12,2004,2023
SU8195,2,2006,2006
SP8206,8,2006,2021
SP6614,1,2006,2006
SP8112,12,2007,2021
SP8810,1,2007,2007
SP6531,1,2007,2007
SP8050,1,2007,2007
SP8948,1,2007,2007
TQ0188,1,2008,2008
SP8837,2,2008,2013
TQ0082,1,2010,2010
SP7121,4,2011,2021
SP7020,2,2011,2011
SP8106,1,2012,2012
SP8909,7,2012,2022
SP8202,1,2012,2012
SU8792,1,2013,2013
SP8614,1,2013,2013
SP6514,1,2013,2013
SU9397,1,2013,2013
SP8205,1,2014,2014
SP8012,1,2014,2014
SP8412,1,2014,2014
SP8305,1,2014,2014
SU8196,1,2015,2015
SP7117,1,2016,2016
SP8203,1,2016,2016
SU8598,1,2017,2017
SP6111,1,2017,2017
SP8226,1,2017,2017
SP6715,1,2017,2017
SP7216,1,2017,2017
TQ0173,1,2017,2017
SP6919,3,2018,2021
SP6921,2,2018,2020
SP7021,1,2018,2018
SU8492,2,2018,2024
SP6014,1,2018,2018
TQ0380,1,2018,2018
TQ0482,1,2018,2018
SP8005,1,2019,2019
SU8191,1,2019,2019
SU9190,4,2019,2024
SU8185,4,2019,2023
SP7912,1,2020,2020
SP8519,2,2020,2024
SP8419,1,2020,2020
SU8891,1,2020,2020
SP6824,1,2020,2020
SP8640,1,2020,2020
SP8807,2,2020,2024
SP7122,2,2020,2020
SP7902,1,2020,2020
SU8296,2,2020,2022
SU9691,2,2021,2021
SP8314,1,2021,2021
SP7124,1,2021,2021
SP7221,1,2021,2021
SP9515,5,2021,2024
SP7432,1,2021,2021
SU7898,4,2021,2024
SU7997,1,2021,2021
SP9126,1,2021,2021
SU8590,1,2021,2021
SP9615,1,2021,2021
SP9516,1,2021,2021
SP8442,1,2021,2021
SP7123,1,2021,2021
SP6534,1,2021,2021
SP8746,4,2022,2023
SP9616,1,2022,2022
SP8846,25,2022,2024
SU7897,3,2022,2024
SP9046,5,2022,2024
SP7925,1,2022,2022
SP8436,1,2022,2022
SU9187,2,2022,2024
SP9214,5,2022,2022
SP9313,4,2022,2022
SP6116,1,2022,2022
SU9998,2,2023,2023
SP7324,1,2024,2024
SP9315,1,2024,2024
SP8105,1,2024,2024
SP8325,1,2024,2024
SP8946,2,2024,2024
