gr,recn,yearStart,yearEnd
SU8594,1,1978,1978
TQ0275,1,1986,1986
SP9314,1,1993,1993
SP8236,1,1996,1996
SP8440,1,1996,1996
SP8334,1,1996,1996
TQ0586,1,1996,1996
SP9615,2,1997,1997
SP9008,1,2004,2004
SP8442,2,2011,2011
SP8206,3,2012,2023
SU9184,1,2016,2016
TQ0175,1,2017,2017
SP6111,1,2017,2017
TQ0380,1,2018,2018
TQ0482,1,2018,2018
SU8397,1,2018,2018
TQ0075,1,2019,2019
SP8409,1,2019,2019
SP8002,1,2020,2020
SP6921,1,2021,2021
SP9714,2,2021,2021
SP9046,3,2022,2022
SP8846,2,2024,2024
