gr,recn,yearStart,yearEnd
TQ0175,1,1986,1986
TQ0174,1,1986,1986
SP6531,3,1987,2005
SP7702,3,1987,1987
SP8102,3,1987,1987
SP9314,10,1993,2024
SP9414,3,1994,2002
TQ0586,1,1996,1996
SU8992,1,2002,2002
SP8609,1,2002,2002
SP9009,2,2003,2021
SP9008,5,2004,2024
SP8206,7,2010,2020
SP8112,1,2012,2012
SU8891,2,2016,2020
TQ0380,1,2018,2018
SU9190,1,2019,2019
SP9214,3,2020,2024
SP8909,1,2020,2020
SP7432,1,2021,2021
SP9126,1,2021,2021
SP6921,1,2021,2021
SU8296,2,2022,2022
SP9046,1,2022,2022
SP8846,6,2023,2024
SU8185,2,2023,2023
SP8639,1,2023,2023
SP9334,1,2023,2023
SP8440,1,2023,2023
SP8619,1,2024,2024
SU8898,1,2024,2024
