gr,recn,yearStart,yearEnd
SU9782,1,1967,1967
SU7785,1,1976,1976
SP6215,2,1986,1986
SP7702,3,1987,1987
TQ0586,2,1991,1996
SP9414,3,1994,2002
SP8236,1,1996,1996
SP8609,2,2002,2002
SP8509,1,2003,2003
SP8050,1,2007,2007
SU8892,4,2012,2017
TQ0185,3,2013,2013
SP8305,1,2014,2014
SU9396,1,2015,2015
SP8754,1,2016,2016
SP6111,1,2017,2017
SP8227,1,2017,2017
SP6715,1,2017,2017
SP6919,2,2018,2018
SP9314,3,2018,2022
SU9297,1,2018,2018
SP7701,2,2020,2020
SP7432,1,2020,2020
SP8206,1,2021,2021
SP7124,2,2021,2021
SP7123,2,2021,2021
SP7223,2,2021,2021
SP9126,1,2021,2021
SU9584,1,2022,2022
SP9046,1,2022,2022
SP8846,10,2023,2024
SP8348,1,2024,2024
SP9128,1,2024,2024
