gr,recn,yearStart,yearEnd
SP6310,2,1980,1991
SU9782,3,1986,1986
SU9185,2,1986,1986
SU8084,2,1986,1986
TQ0586,2,1991,1996
SU8186,3,1995,1995
SP8440,1,1996,1996
SP8236,1,1996,1996
SP8334,1,1996,1996
SU9585,1,1996,1996
SU9584,2,1996,2006
SU9294,1,1997,1997
SP8406,1,2006,2006
SP9314,2,2006,2023
SU8396,1,2007,2007
SU7898,8,2017,2024
SP6111,1,2017,2017
SU7897,2,2020,2020
SP6921,1,2020,2020
SU9190,1,2020,2020
SP9008,3,2020,2023
SP8909,2,2021,2023
SP9515,3,2021,2021
SP8000,1,2022,2022
SP7021,1,2022,2022
SU7689,1,2022,2022
SP9129,2,2022,2024
SP9616,1,2022,2022
SU8295,1,2022,2022
SP9414,1,2023,2023
SU8699,1,2023,2023
