gr,recn,yearStart,yearEnd
SP9714,1,1972,1972
SU9896,5,1976,1978
SP6310,2,1980,1991
SU8186,3,1985,1985
SP9009,4,1989,2023
SU8497,2,1996,1996
TQ0184,1,1998,1998
SU8992,1,2002,2002
SP9008,2,2004,2021
SU9585,1,2006,2006
SU8396,1,2007,2007
TQ0188,1,2008,2008
SP8909,2,2012,2023
SU9397,1,2015,2015
SP9615,1,2016,2016
SP8206,1,2016,2016
SP9812,1,2018,2018
SP9516,1,2018,2018
SP6116,1,2019,2019
SP9314,2,2020,2024
SP7124,1,2021,2021
SP7123,1,2021,2021
SU8696,2,2021,2021
SP9046,1,2022,2022
SP8438,1,2023,2023
SP9713,1,2023,2023
