gr,recn,yearStart,yearEnd
SU9783,2,1968,1968
SU9977,1,1976,1976
SP6014,1,1982,1982
SU9185,3,1982,1986
SP8204,5,1983,2024
SU8186,3,1985,1985
SU8395,2,1986,1986
SU8297,5,1986,2024
SU8298,5,1986,2024
SU9291,3,1986,1986
SU9782,3,1986,1986
SU8497,2,1996,1997
SU8393,1,1997,1997
SP9009,10,2006,2021
SP9313,1,2006,2006
SP9008,16,2006,2022
TQ0185,2,2013,2013
SP9129,1,2016,2016
SU8598,1,2017,2017
SP8810,1,2017,2017
SP9713,1,2018,2018
SP8201,1,2019,2019
SP8202,1,2019,2019
SU7898,8,2019,2023
SP8005,1,2019,2019
SU8699,1,2020,2020
SP8505,1,2020,2020
SP9515,9,2020,2024
SP9414,3,2020,2022
SP8339,1,2020,2020
SP9516,1,2020,2020
SP8002,1,2020,2020
SP9615,1,2020,2020
SP7121,2,2020,2020
SU7897,7,2020,2024
SU8789,1,2020,2020
SP8909,19,2020,2023
SP9314,2,2020,2020
SP7701,2,2020,2023
SP7432,1,2020,2020
SP8105,1,2021,2021
SU8098,2,2021,2021
SP9109,1,2021,2021
SP7800,1,2021,2021
SP8205,3,2021,2021
SP8846,14,2022,2024
SP8000,2,2022,2022
TQ0486,1,2023,2023
SP8950,1,2024,2024
SU8898,1,2024,2024
