gr,recn,yearStart,yearEnd
SU9984,1,1967,1967
SP5814,1,1968,1968
SP9513,1,1974,1974
SU9896,5,1975,1978
SU8594,1,1978,1978
SU9895,1,1978,1978
SP7526,2,1979,1979
SP6310,2,1980,1991
SP8305,6,1980,2023
SU9291,1,1981,1981
SP6715,1,1983,1983
SP6615,1,1984,1985
SU8699,1,1984,1984
SP9009,19,1984,2022
SU8186,3,1985,1985
SU9196,1,1986,1993
SP5913,1,1986,1986
SP6531,3,1987,2005
SP8609,3,1987,1987
TQ0183,2,1987,1991
TQ0072,1,1987,1987
SU9986,4,1987,1991
TQ0586,3,1988,1996
TQ0486,1,1988,1988
SP6836,1,1990,1990
SU8690,1,1991,1991
SU9489,1,1991,1991
TQ0585,1,1991,1991
SP8909,7,1995,2023
SP8334,1,1996,1996
SU8497,1,1996,1996
SP6111,1,1997,1997
SU7392,1,1998,1998
SU9699,1,1999,1999
SP9229,1,2000,2000
SP9008,23,2003,2024
SP6014,2,2005,2024
SU7996,1,2005,2005
SU9585,1,2006,2006
SP9314,5,2006,2024
SP6737,1,2007,2007
SP8503,1,2007,2007
SP8948,1,2007,2007
SP9132,1,2008,2008
SP8506,2,2008,2008
SP7020,1,2011,2011
SP8442,1,2011,2011
SP8106,1,2012,2012
SU9297,2,2013,2018
SU9397,2,2013,2015
SP8306,1,2014,2014
SP7902,1,2016,2016
SP5914,3,2017,2021
SP8226,1,2017,2017
SP6813,1,2017,2017
SP7121,2,2017,2020
SP6919,1,2018,2018
SP6110,2,2018,2018
SP6921,2,2018,2021
SP9109,1,2018,2018
SP8409,1,2019,2019
SP7123,2,2021,2021
SP6924,1,2021,2021
SP9126,1,2021,2021
SU8287,1,2021,2021
SP6534,1,2021,2021
SP8846,7,2022,2024
SP9046,1,2022,2022
SP9616,1,2022,2022
SU8185,1,2023,2023
SP7612,1,2024,2024
