gr,recn,yearStart,yearEnd
SP6310,2,1980,1991
SP6517,2,1985,1985
SP6918,3,1985,2021
SU9185,1,1986,1986
SU8084,2,1986,1986
TQ0175,2,1986,1986
SP5913,1,1986,1986
SP6116,2,1986,2019
SP9314,12,1987,2023
TQ0586,3,1991,1996
TQ0585,1,1991,1991
SP8334,1,1996,1996
SP8236,1,1996,1996
SP8440,1,1996,1996
SP6210,3,1996,2003
SP6111,2,1997,2017
SU8186,1,2001,2001
SU8196,1,2003,2003
SP9009,1,2003,2003
SP9008,1,2004,2004
SP5914,2,2007,2017
SP8909,8,2007,2022
SP8203,2,2009,2013
SP8204,6,2011,2023
SP8442,1,2011,2011
TQ0179,1,2014,2014
SU8891,2,2016,2020
SU8892,1,2017,2017
SU7898,3,2017,2020
SP8802,1,2017,2017
SP8226,2,2017,2017
TQ0279,1,2017,2017
SP7121,3,2017,2020
SP9516,2,2018,2020
TQ0482,1,2018,2018
TQ0173,1,2019,2019
TQ0172,1,2019,2019
SU8191,1,2019,2019
SU9190,1,2019,2019
SP8409,1,2019,2019
SP8002,1,2020,2020
SU7897,1,2020,2020
SP7701,1,2020,2020
SP7902,1,2020,2020
SP7432,2,2020,2021
SP9214,3,2020,2022
SP7124,1,2021,2021
SP9515,6,2021,2024
SP6921,1,2021,2021
SP8339,1,2021,2021
SP7123,1,2021,2021
SP6534,1,2021,2021
SP9616,2,2022,2022
SP9046,4,2022,2024
SP7925,1,2022,2022
SP8205,1,2022,2022
SU8295,1,2022,2022
SP9514,1,2022,2022
SP8846,1,2022,2022
SP9414,1,2022,2022
SU8297,1,2023,2023
SP8206,1,2023,2023
SP6010,1,2023,2023
SP6014,1,2023,2023
SU8185,2,2023,2023
SP8845,1,2023,2023
SP8325,1,2024,2024
SP8946,1,2024,2024
