gr,recn,yearStart,yearEnd
SU9896,7,1905,1983
SU9985,1,1978,1978
SP8305,7,1980,2023
SP9009,61,1982,2024
SU8186,7,1985,2024
SP9616,3,1985,2021
SP7900,3,1985,2014
SU7392,5,1998,2013
SU9190,7,1999,2022
SU8298,3,2000,2022
SP9229,1,2000,2000
SU8196,5,2002,2005
SP9008,61,2003,2024
SU8992,1,2003,2003
SU8195,1,2005,2005
SP9313,5,2006,2023
SP9130,1,2007,2007
TQ0389,3,2010,2010
SP8810,4,2014,2024
SP8204,31,2014,2024
SU9184,1,2016,2016
SU9187,19,2016,2024
SP8205,10,2017,2024
SP7121,3,2017,2020
SP9515,13,2018,2023
SP9516,4,2018,2023
SP8909,85,2019,2024
SU7898,18,2019,2024
SU8891,1,2020,2020
TQ0479,1,2020,2020
SU7997,4,2020,2021
SU8297,2,2020,2022
SU7897,9,2020,2024
SP9214,3,2020,2023
SU8696,2,2021,2021
SU9790,2,2021,2021
SP9514,1,2022,2022
SP9414,5,2022,2024
SU9683,1,2022,2022
SP8306,3,2022,2024
SU7586,2,2022,2023
SP8846,3,2022,2024
SP9406,3,2022,2022
SP9307,1,2022,2022
SU8185,5,2023,2024
SU8492,1,2023,2023
SU9288,1,2023,2023
SP8202,3,2023,2023
SP8201,1,2023,2023
SP9314,2,2023,2024
TQ0382,1,2024,2024
SP8950,1,2024,2024
SP9615,1,2024,2024
SP8406,2,2024,2024
