gr,recn,yearStart,yearEnd
SU8594,2,1978,1986
SP6919,3,1984,2018
SU8695,1,1986,1986
TQ0175,2,1986,1986
SU9972,1,1989,1989
SP9314,2,1993,2002
SP8440,1,1996,1996
SP8236,1,1996,1996
SP8334,1,1996,1996
TQ0586,1,1996,1996
SU8497,2,1996,2018
SP8206,13,2005,2024
SP8112,7,2007,2021
SU8892,2,2012,2012
SU8397,1,2018,2018
SP8002,1,2020,2020
SP8204,1,2020,2020
SP7121,1,2020,2020
SP9125,1,2021,2021
SP8909,2,2021,2022
SP8846,14,2022,2024
SP9008,1,2022,2022
SP9046,1,2022,2022
SP7613,1,2022,2022
SP8946,1,2024,2024
