gr,recn,yearStart,yearEnd
SU9684,2,1967,1969
TQ0175,2,1986,1986
SP7902,4,1987,2020
SU9398,3,1987,1987
TQ0586,2,1991,1996
SP8334,1,1996,1996
SU7392,1,1998,1998
SP9414,1,2002,2002
SP8206,4,2006,2021
SP8112,5,2007,2021
SP8909,3,2007,2020
SP7020,1,2011,2011
SU8891,2,2016,2020
SP8203,1,2016,2016
TQ0279,1,2017,2017
SP7121,1,2017,2017
TQ0380,1,2018,2018
TQ0482,1,2018,2018
SU9190,1,2019,2019
SP8409,2,2019,2019
SP8002,2,2020,2020
SU7898,1,2020,2020
SP9009,1,2020,2020
SP9314,4,2020,2024
SP9515,2,2021,2021
SU7997,1,2021,2021
SP6534,1,2021,2021
SP9214,4,2022,2024
SP8846,14,2022,2024
SP8746,1,2023,2023
SU8185,2,2023,2023
SP8946,1,2024,2024
