gr,recn,yearStart,yearEnd
SU9781,1,1967,1967
SU9281,1,1982,1982
TQ0175,1,1986,1986
TQ0174,1,1986,1986
SP7902,3,1987,1987
SP8102,3,1987,1987
TQ0586,2,1991,1996
TQ0188,1,2008,2008
SP8837,3,2008,2008
SU8892,2,2012,2012
SP8206,10,2013,2024
SP8407,1,2013,2013
TQ0380,1,2018,2018
TQ0075,1,2019,2019
SP8409,1,2019,2019
SP9008,2,2020,2024
SP8204,1,2020,2020
SP8909,1,2021,2021
SP9009,1,2021,2021
SU8696,2,2021,2021
SP8846,19,2022,2024
SP9046,2,2022,2023
SP9616,1,2022,2022
SP6927,1,2023,2023
SP9214,1,2023,2023
SP8946,1,2024,2024
