gr,recn,yearStart,yearEnd
SU9782,1,1967,1967
SP9313,1,1969,1969
SU8083,1,1976,1976
SU7785,1,1976,1976
SU9787,1,1980,1980
SU9896,1,1981,1981
TQ0298,1,1983,1983
SU8394,1,1986,1986
SU8295,1,1986,1986
SU9185,2,1986,1986
SP7702,3,1987,1987
SU9788,3,1991,1991
TQ0586,4,1991,2023
TQ0185,2,1991,1991
SP8440,1,1996,1996
SP8334,1,1996,1996
SU9584,1,1996,1996
SP6420,1,2006,2006
TQ0082,1,2007,2007
SP7125,1,2008,2008
SP7223,1,2008,2008
SP6419,2,2010,2017
SP7020,1,2011,2011
SU9689,1,2012,2012
SP8909,1,2012,2012
SU9396,1,2013,2013
SU9690,1,2014,2014
SP8050,1,2015,2015
SP6111,3,2015,2017
SP8754,1,2016,2016
SP5914,1,2017,2017
SP7121,1,2017,2017
SP9714,3,2017,2021
SP6715,1,2017,2017
SP9812,1,2018,2018
SP6919,1,2018,2018
SP7021,2,2018,2023
SP9713,1,2018,2018
SP7701,1,2020,2020
SP9009,2,2020,2021
SP7432,2,2020,2021
SP7123,1,2021,2021
SU8298,1,2022,2022
SP9230,1,2022,2022
SU9187,1,2024,2024
SP9129,1,2024,2024
