gr,recn,yearStart,yearEnd
SU9983,1,1967,1967
SU8196,1,1978,1978
SU8594,1,1978,1978
SP8440,1,1996,1996
SP8334,1,1996,1996
SP8236,1,1996,1996
TQ0586,1,1996,1996
SU8497,1,1996,1996
SU7996,1,1998,1998
SP6736,3,2001,2001
SU9585,2,2002,2002
SP8206,8,2006,2023
SP8112,1,2014,2014
SP8406,1,2017,2017
SP9313,3,2017,2024
SP9009,3,2019,2024
SP9008,8,2020,2023
SP8204,1,2020,2020
SP8909,7,2021,2024
SP6408,1,2022,2022
TQ0386,3,2022,2024
SP8431,2,2022,2022
SP9046,1,2022,2022
SP6837,1,2022,2022
SP8822,1,2023,2023
SP8639,1,2023,2023
SU8093,1,2023,2023
SU8496,1,2024,2024
SP8205,1,2024,2024
SU7586,1,2024,2024
SP7117,1,2024,2024
