gr,recn,yearStart,yearEnd
SP8603,1,1923,1923
SP5814,1,1979,1979
SU8187,2,1994,1994
SP6111,1,1997,1997
SP9009,10,2003,2024
SP9008,19,2004,2024
SP6110,1,2005,2005
SP6737,1,2008,2008
SP8206,6,2008,2024
SP7020,1,2011,2011
SP8909,24,2012,2024
SU9585,1,2012,2012
SU7996,3,2012,2013
SU9297,2,2015,2018
SP8305,1,2016,2016
SP8151,1,2016,2016
SP8226,1,2017,2017
SP6715,1,2017,2017
SP7121,4,2017,2020
SP9813,2,2018,2020
SU9190,1,2020,2020
SU7898,1,2020,2020
SP6921,2,2020,2021
SP8205,1,2020,2020
SP6918,2,2021,2021
SP8846,1,2022,2022
SP8204,1,2022,2022
SP9314,3,2022,2024
SP9313,1,2022,2022
SU8599,1,2022,2022
SU8397,1,2022,2022
SP9714,1,2022,2022
TQ0194,1,2022,2022
SP7021,1,2022,2022
SP6010,1,2023,2023
SU8185,5,2023,2023
SP8325,1,2024,2024
SP9214,1,2024,2024
