gr,recn,yearStart,yearEnd
SP8502,1,1934,1934
SU8186,3,2007,2023
SU8285,1,2017,2017
SU7897,1,2017,2017
SP9008,33,2017,2024
SU8196,1,2017,2017
SP9009,28,2018,2024
SP6014,4,2018,2023
SU8298,1,2019,2019
SU9190,4,2019,2023
SP8909,10,2020,2023
SU8891,1,2020,2020
SP9516,1,2020,2020
SP8807,1,2020,2020
SP5914,1,2021,2021
SP9814,2,2021,2021
SP9714,4,2021,2021
SP8204,4,2021,2024
SP8205,1,2021,2021
SU8696,1,2021,2021
SU8499,1,2022,2022
SP9515,1,2022,2022
SU8185,5,2023,2024
SP8453,1,2024,2024
SP6111,2,2024,2024
