taxonId,taxon
acrocera_orbiculus,Acrocera orbiculus
asilus_crabroniformis,Asilus crabroniformis
atrichops_crassipes,Atrichops crassipes
atylotus_fulvus,Atylotus fulvus
atylotus_rusticus,Atylotus rusticus
beris_chalybata,Beris chalybata
beris_clavipes,Beris clavipes
beris_geniculata,Beris geniculata
beris_morrisii,Beris morrisii
beris_vallata,Beris vallata
bombylius_discolor,Bombylius discolor
bombylius_major,Bombylius major
chloromyia_formosa,Chloromyia formosa
choerades_gilvus,Choerades gilvus
choerades_marginatus,Choerades marginatus
chorisops_nagatomii,Chorisops nagatomii
chorisops_tibialis,Chorisops tibialis
chrysopilus_asiliformis,Chrysopilus asiliformis
chrysopilus_cristatus,Chrysopilus cristatus
chrysopilus_laetus,Chrysopilus laetus
chrysops_caecutiens,Chrysops caecutiens
chrysops_relictus,Chrysops relictus
dioctria_atricapilla,Dioctria atricapilla
dioctria_baumhaueri,Dioctria baumhaueri
dioctria_linearis,Dioctria linearis
dioctria_oelandica,Dioctria oelandica
dioctria_rufipes,Dioctria rufipes
dysmachus_trigonus,Dysmachus trigonus
eupachygaster_tarsalis,Eupachygaster tarsalis
eutolmus_rufibarbis,Eutolmus rufibarbis
haematopota_crassicornis,Haematopota crassicornis
haematopota_pluvialis,Haematopota pluvialis
hybomitra_bimaculata,Hybomitra bimaculata
hybomitra_distinguenda,Hybomitra distinguenda
lasiopogon_cinctus,Lasiopogon cinctus
leptarthrus_brevirostris,Leptarthrus brevirostris
leptarthrus_vitripennis,Leptarthrus vitripennis
leptogaster_cylindrica,Leptogaster cylindrica
leptogaster_guttiventris,Leptogaster guttiventris
machimus_atricapillus,Machimus atricapillus
machimus_cingulatus,Machimus cingulatus
machimus_rusticus,Machimus rusticus
microchrysa_cyaneiventris,Microchrysa cyaneiventris
microchrysa_flavicornis,Microchrysa flavicornis
microchrysa_polita,Microchrysa polita
nemotelus_nigrinus,Nemotelus nigrinus
nemotelus_pantherinus,Nemotelus pantherinus
neoitamus_cothurnatus,Neoitamus cothurnatus
neoitamus_cyanurus,Neoitamus cyanurus
neopachygaster_meromelas,Neopachygaster meromelas
odontomyia_argentata,Odontomyia argentata
odontomyia_tigrina,Odontomyia tigrina
ogcodes_gibbosus,Ogcodes gibbosus
ogcodes_pallipes,Ogcodes pallipes
oplodontha_viridula,Oplodontha viridula
oxycera_morrisii,Oxycera morrisii
oxycera_nigricornis,Oxycera nigricornis
oxycera_rara,Oxycera rara
oxycera_trilineata,Oxycera trilineata
pachygaster_atra,Pachygaster atra
pachygaster_leachii,Pachygaster leachii
pandivirilia_melaleuca,Pandivirilia melaleuca
ptiolina_obscura,Ptiolina obscura
rhagio_lineola,Rhagio lineola
rhagio_scolopaceus,Rhagio scolopaceus
rhagio_strigosus,Rhagio strigosus
rhagio_tringarius,Rhagio tringarius
sargus_bipunctatus,Sargus bipunctatus
sargus_flavipes,Sargus flavipes
sargus_iridatus,Sargus iridatus
scenopinus_fenestralis,Scenopinus fenestralis
scenopinus_niger,Scenopinus niger
solva_marginata,Solva marginata
stratiomys_longicornis,Stratiomys longicornis
stratiomys_potamida,Stratiomys potamida
stratiomys_singularior,Stratiomys singularior
symphoromyia_immaculata,Symphoromyia immaculata
tabanus_autumnalis,Tabanus autumnalis
tabanus_bromius,Tabanus bromius
tabanus_cordiger,Tabanus cordiger
tabanus_glaucopis,Tabanus glaucopis
tabanus_maculicornis,Tabanus maculicornis
tabanus_miki,Tabanus miki
tabanus_sudeticus,Tabanus sudeticus
thereva_nobilitata,Thereva nobilitata
thereva_plebeja,Thereva plebeja
vanoyia_tenuicornis,Vanoyia tenuicornis
villa_cingulata,Villa cingulata
xylomya_maculata,Xylomya maculata
