gr,recn,yearStart,yearEnd
SU98R,2,1967,1967
SU88E,1,1979,1979
SP61F,2,1980,1991
TQ09J,2,1983,1983
SU89H,2,1986,1986
TQ07B,2,1987,1987
SU97W,1,1989,1989
TQ08M,1,1991,1991
TQ08N,2,1991,1996
SP83H,1,1996,1996
SP84K,1,1996,1996
SP83I,2,1996,1996
SP90E,9,2003,2022
SU89W,2,2003,2012
SP80P,1,2003,2003
SP91M,1,2005,2005
SP81Q,1,2006,2006
SP80I,6,2008,2021
SP81V,1,2008,2008
SP72H,1,2008,2008
SP61S,3,2009,2017
SU99Q,1,2013,2013
SP81B,1,2014,2014
SU99I,2,2015,2015
SP91R,2,2015,2022
SU89P,2,2017,2017
SP51X,1,2017,2017
SP61A,2,2017,2018
SP61Z,1,2018,2018
SP72A,1,2018,2018
TQ08L,1,2018,2018
TL01B,1,2019,2019
SP80Z,2,2020,2022
SP70Z,2,2020,2020
SP94D,5,2022,2022
SP84Y,6,2022,2024
SU98M,1,2022,2022
SP84T,1,2022,2022
SU79Y,1,2022,2022
SP91H,1,2023,2023
SP80G,1,2024,2024
SP92E,1,2024,2024
