gr,recn,yearStart,yearEnd
SU98X,1,1968,1968
SP80Z,69,1973,2024
TQ08N,3,1976,2022
SU89M,2,1978,2015
SU89I,7,1978,2023
SU89J,12,1978,2024
SP80T,3,1979,2019
SU99T,5,1979,1981
SP61F,2,1980,1991
TQ08C,1,1980,1980
SU99Y,13,1980,2024
SP83P,5,1981,2022
SP61C,5,1982,2019
SP81G,16,1982,2024
SP80H,63,1982,2024
SP61S,6,1984,2019
SU98M,5,1986,2024
SU98C,6,1986,2023
SU78I,1,1987,1987
SP61T,1,1990,1990
SP91H,62,1992,2024
SU88D,9,1992,2017
SP81V,11,1992,2024
SU79X,4,1993,2024
SU99D,2,1993,2000
SP90E,85,1995,2024
SP72B,1,1999,1999
SP72A,8,1999,2022
SU98I,1,1999,1999
SP73T,2,1999,1999
SP80G,14,1999,2023
SP73W,1,2000,2000
SP70J,1,2000,2000
SP95H,1,2001,2001
SP63K,4,2001,2021
SP90I,1,2002,2002
SU79U,1,2002,2002
TQ08B,1,2004,2004
SP70W,2,2006,2020
SP80N,5,2006,2023
SP71D,6,2007,2022
SU89N,4,2007,2024
SU99C,1,2007,2007
SP85A,7,2007,2019
SP62J,2,2007,2021
SP74F,1,2007,2007
SP80I,59,2007,2024
SP72F,4,2008,2020
SP83Y,14,2008,2018
SU99R,3,2010,2017
SP80C,8,2012,2023
SP83X,2,2012,2020
SU99M,2,2013,2013
SU89D,1,2013,2013
SP80A,5,2013,2022
SU89W,1,2013,2013
SP81B,20,2014,2020
SP81F,4,2014,2022
SU89H,1,2014,2014
SU99Q,9,2014,2024
SP80B,3,2014,2021
SP83T,1,2015,2015
SU97N,1,2015,2015
SU89S,1,2015,2015
SU79Z,5,2015,2023
SU99W,4,2015,2023
SU88N,3,2016,2023
SU98D,20,2016,2024
SP90Q,18,2016,2024
SP81M,1,2016,2016
SP80W,1,2016,2016
SU89U,2,2016,2017
SP62Q,4,2017,2022
SP73L,1,2017,2017
SP61A,15,2017,2024
SU99F,1,2017,2017
SP92C,27,2017,2024
SP91I,1,2017,2017
SP90L,1,2017,2017
TQ07C,3,2017,2019
SP80K,6,2017,2022
SP51X,1,2017,2017
SP91M,34,2018,2024
SP80U,5,2018,2023
SP91U,1,2018,2018
SP63U,2,2018,2018
SP74V,5,2018,2022
SP81U,5,2018,2023
SP71X,1,2018,2018
SP84B,2,2018,2020
SP91W,1,2018,2018
SP91R,3,2018,2022
SP91X,2,2018,2022
SP61Z,1,2018,2018
SP62V,4,2018,2023
SP62Y,1,2019,2019
SP63T,4,2019,2024
SU89Q,1,2019,2019
SP92E,6,2019,2024
SP72U,1,2019,2019
SP72D,2,2019,2022
TQ08I,6,2019,2023
SU89G,11,2019,2023
SP71W,7,2019,2020
SP83H,6,2019,2023
SU98Q,1,2019,2019
SU89E,4,2019,2023
SP93F,4,2019,2022
TQ08P,1,2019,2019
SP83N,7,2019,2022
SP63L,1,2019,2019
SU98L,1,2019,2019
TQ09A,1,2019,2019
SP71I,2,2019,2023
TQ07B,2,2019,2019
SP91N,6,2019,2022
SP84G,1,2019,2019
SP73C,6,2019,2022
SP80J,1,2020,2020
SP80E,1,2020,2020
SP84F,3,2020,2020
SU97X,1,2020,2020
SP85V,5,2020,2024
SU89L,7,2020,2024
SU98E,2,2020,2020
SP90K,2,2020,2020
SP63Y,3,2020,2021
SU89F,2,2020,2021
SP83E,6,2020,2020
SP83J,21,2020,2023
SP83M,2,2020,2022
SP81K,4,2020,2022
SU99A,5,2020,2024
SP84K,10,2020,2023
SP82E,1,2020,2020
SP63Q,1,2020,2020
SP73Q,3,2020,2022
SP73B,1,2020,2020
SP92D,8,2020,2020
SP81H,2,2020,2020
SP90R,1,2020,2020
SP72K,1,2020,2020
SP80Q,2,2020,2020
SU99U,2,2020,2020
SU89T,1,2020,2020
SP82A,1,2020,2020
SP80M,3,2020,2020
SP83I,1,2020,2020
SU78Z,2,2020,2022
SP90T,2,2020,2020
SP63X,1,2020,2020
SP70Q,2,2020,2020
SP80D,1,2020,2020
SP81P,7,2020,2023
SP84Q,15,2020,2024
SP81A,1,2020,2020
SP80L,3,2020,2021
SP83L,1,2021,2021
SP93H,2,2021,2024
TQ09E,1,2021,2021
SU79V,1,2021,2021
SP84R,4,2021,2023
SU98T,1,2021,2021
SU88P,1,2021,2021
SU99Z,26,2021,2024
TQ09D,1,2021,2021
SP83R,1,2021,2021
SU97T,1,2021,2021
SP91B,1,2021,2021
SP94L,1,2021,2021
TQ08J,4,2021,2023
SP91G,5,2021,2023
SP71M,1,2021,2021
SU89X,9,2021,2024
SU79Y,2,2021,2023
SP84J,1,2022,2022
SP84H,3,2022,2023
SU89P,2,2022,2022
SP74S,1,2022,2022
SP84T,2,2022,2023
SP70R,2,2022,2023
SP84Y,73,2022,2024
SU78N,3,2022,2024
SP73Z,1,2022,2022
SU98J,1,2022,2022
SP60Z,1,2022,2022
SP61U,1,2022,2022
SP62K,1,2022,2022
SU88I,1,2022,2022
SP71F,1,2022,2022
SP94D,9,2022,2023
SP83U,2,2022,2023
SP91A,3,2022,2023
SP91S,5,2022,2024
SP84A,6,2023,2024
SU89Z,2,2023,2023
SP95A,2,2023,2023
SP91L,1,2023,2023
SU78T,1,2023,2023
SP63M,1,2023,2023
SP80V,1,2023,2023
SU99L,1,2023,2023
SU89R,1,2024,2024
SP84L,1,2024,2024
SP84X,1,2024,2024
SU79Q,1,2024,2024
SU78P,1,2024,2024
SP80R,1,2024,2024
SU97J,1,2024,2024
SU99N,1,2024,2024
