gr,recn,yearStart,yearEnd
SU89I,4,1978,2022
SU89J,1,1978,1978
SU99A,5,1979,2024
SP61S,3,1984,2017
SP61Z,5,1985,2021
SU98C,2,1986,1986
SU88C,6,1986,2023
SP51X,2,1986,2017
TQ07C,4,1986,2017
SP61H,3,1986,1986
SP80U,4,1987,2002
SP70R,3,1987,1987
SP90E,20,1990,2023
TQ08N,3,1991,1996
TQ08M,1,1991,1991
SU88D,4,1993,1994
SP91H,21,1993,2024
SP91M,11,1994,2024
SP83H,1,1996,1996
SP83I,1,1996,1996
SP84K,1,1996,1996
SU89N,1,1996,1996
SP80P,2,2002,2003
SU79G,1,2004,2004
SU89C,2,2006,2006
SP80I,8,2006,2021
SP81B,13,2007,2021
SP81V,1,2007,2007
SP63K,1,2007,2007
SP85A,1,2007,2007
SP84Z,1,2007,2007
TQ08E,1,2008,2008
SP83Y,2,2008,2013
TQ08B,1,2010,2010
SP72A,7,2011,2021
SP80D,1,2012,2012
SP80Z,7,2012,2022
SP80G,2,2012,2016
SU89R,1,2013,2013
SP81S,1,2013,2013
SP61M,1,2013,2013
SU99I,1,2013,2013
SP80H,2,2014,2014
SP81L,1,2014,2014
SU89D,1,2015,2015
SP71D,1,2016,2016
SU89P,1,2017,2017
SP61A,1,2017,2017
SP82I,1,2017,2017
SP71I,1,2017,2017
TQ07B,1,2017,2017
SP62V,2,2018,2020
SU89L,2,2018,2024
SP61C,1,2018,2018
TQ08F,1,2018,2018
TQ08L,1,2018,2018
SP80C,2,2019,2024
SU89A,1,2019,2019
SP71W,1,2020,2020
SP81P,3,2020,2024
SU89V,1,2020,2020
SP62X,1,2020,2020
SP84Q,1,2020,2020
SP80Y,2,2020,2024
SP72B,3,2020,2021
SP70W,1,2020,2020
SU99Q,2,2021,2021
SP81H,1,2021,2021
SP72C,1,2021,2021
SP72F,1,2021,2021
SP73L,1,2021,2021
SU79Z,4,2021,2024
SU79Y,4,2021,2024
SP92D,1,2021,2021
SU89K,1,2021,2021
SP91S,1,2021,2021
SP91N,1,2021,2021
SP84L,1,2021,2021
SP63M,1,2021,2021
SP84T,4,2022,2023
SP91T,1,2022,2022
SP84Y,27,2022,2024
SP94D,5,2022,2024
SP72X,1,2022,2022
SP83N,1,2022,2022
SU98D,2,2022,2024
SP91G,4,2022,2022
SP61D,1,2022,2022
SU99Z,2,2023,2023
SP72H,1,2024,2024
SP82H,1,2024,2024
