gr,recn,yearStart,yearEnd
SU98R,1,1967,1967
SU78S,1,1976,1976
SP61H,2,1986,1986
SP70R,3,1987,1987
TQ08N,2,1991,1996
SP91M,3,1994,2002
SP83I,1,1996,1996
SP80U,2,2002,2002
SP80P,1,2003,2003
SP85A,1,2007,2007
SU89W,4,2012,2017
TQ08C,3,2013,2013
SP80H,1,2014,2014
SU99I,2,2015,2018
SP85S,1,2016,2016
SP61A,1,2017,2017
SP82I,1,2017,2017
SP61S,1,2017,2017
SP61Z,2,2018,2018
SP91H,3,2018,2022
SP70Q,2,2020,2020
SP73L,1,2020,2020
SP80I,1,2021,2021
SP72C,2,2021,2021
SP72B,2,2021,2021
SP72G,2,2021,2021
SP92D,1,2021,2021
SU98M,1,2022,2022
SP94D,1,2022,2022
SP84Y,10,2023,2024
SP84J,1,2024,2024
SP92E,1,2024,2024
