gr,recn,yearStart,yearEnd
SP61F,2,1980,1991
SU98R,3,1986,1986
SU98C,2,1986,1986
SU88C,2,1986,1986
TQ08N,2,1991,1996
SU88D,3,1995,1995
SP84K,1,1996,1996
SP83I,1,1996,1996
SP83H,1,1996,1996
SU98M,3,1996,2006
SU99H,1,1997,1997
SP80N,1,2006,2006
SP91H,2,2006,2023
SU89I,1,2007,2007
SU79Z,8,2017,2024
SP61A,1,2017,2017
SU79Y,2,2020,2020
SP62V,1,2020,2020
SU99A,1,2020,2020
SP90E,3,2020,2023
SP80Z,2,2021,2023
SP91M,4,2021,2023
SP80A,1,2022,2022
SP72A,1,2022,2022
SU78U,1,2022,2022
SP92E,2,2022,2024
SP91T,1,2022,2022
SU89H,1,2022,2022
SU89U,1,2023,2023
