gr,recn,yearStart,yearEnd
SU98R,5,1968,1986
SU97Y,1,1976,1976
SP61C,1,1982,1982
SU98C,3,1982,1986
SP80H,8,1983,2024
SU88D,3,1985,1985
SU89H,2,1986,1986
SU89I,5,1986,2024
SU89J,5,1986,2024
SU99F,3,1986,1986
SU89N,2,1996,1997
SU89G,1,1997,1997
SP90E,27,2006,2022
SP91G,1,2006,2006
TQ08C,2,2013,2013
SP92E,1,2016,2016
SU89P,1,2017,2017
SP81V,1,2017,2017
SP91R,1,2018,2018
SP80F,1,2019,2019
SP80G,1,2019,2019
SU79Z,8,2019,2023
SP80C,2,2019,2021
SU89U,1,2020,2020
SP80M,1,2020,2020
SP91M,12,2020,2024
SP83J,1,2020,2020
SP91N,1,2020,2020
SP80B,1,2020,2020
SP91S,1,2020,2020
SP72A,2,2020,2020
SU79Y,7,2020,2024
SU88U,1,2020,2020
SP80Z,19,2020,2023
SP91H,2,2020,2020
SP70Q,2,2020,2023
SP73L,1,2020,2020
SU89E,2,2021,2021
SP70V,1,2021,2021
SP84Y,14,2022,2024
SP80A,2,2022,2022
TQ08N,1,2023,2023
SP85V,1,2024,2024
SU89Z,1,2024,2024
