gr,recn,yearStart,yearEnd
SU98X,1,1967,1967
SP51X,4,1968,2021
SP91L,1,1974,1974
SU99Y,5,1975,1978
SU89M,1,1978,1978
SU99X,1,1978,1978
SP72N,2,1979,1979
SP61F,2,1980,1991
SP80H,6,1980,2023
SU99F,1,1981,1981
SP61S,2,1983,1985
SU89U,1,1984,1984
SP90E,43,1984,2024
SU88D,3,1985,1985
SU99D,1,1986,1993
SP51W,1,1986,1986
SP63K,3,1987,2005
SP80U,3,1987,1987
TQ08B,2,1987,1991
TQ07B,1,1987,1987
SU98Y,4,1987,1991
TQ08N,4,1988,1996
SP63Y,1,1990,1990
SU89Q,1,1991,1991
SU98P,1,1991,1991
TQ08M,1,1991,1991
SP80Z,7,1995,2023
SP83H,1,1996,1996
SU89N,1,1996,1996
SP61A,3,1997,2018
SU79G,1,1998,1998
SU99U,1,1999,1999
SP92J,1,2000,2000
SP61C,2,2005,2024
SU79Y,1,2005,2005
SU98M,1,2006,2006
SP91H,5,2006,2024
SP63T,1,2007,2007
SP80L,1,2007,2007
SP84Z,1,2007,2007
SP93B,1,2008,2008
SP80N,2,2008,2008
SP72A,3,2011,2020
SP84L,1,2011,2011
SP80D,1,2012,2012
SU99I,4,2013,2018
SP80I,1,2014,2014
SP70W,1,2016,2016
SP82I,1,2017,2017
SP61W,1,2017,2017
SP61Z,1,2018,2018
SP62V,2,2018,2021
SP80P,1,2019,2019
SP72B,2,2021,2021
SP62X,1,2021,2021
SP92D,1,2021,2021
SU88I,1,2021,2021
SP63M,1,2021,2021
SP84Y,7,2022,2024
SP94D,1,2022,2022
SP91T,1,2022,2022
SU88C,1,2023,2023
SP71R,1,2024,2024
