gr,recn,yearStart,yearEnd
SP61F,5,1980,2003
SP61N,2,1985,1985
SP61Z,3,1985,2021
SU98C,1,1986,1986
SU88C,4,1986,2023
TQ07C,2,1986,1986
SP51W,1,1986,1986
SP61D,2,1986,2019
SP91H,15,1987,2023
TQ08N,3,1991,1996
TQ08M,1,1991,1991
SP83H,1,1996,1996
SP83I,1,1996,1996
SP84K,1,1996,1996
SP61A,3,1997,2023
SU88D,1,2001,2001
SU89D,1,2003,2003
SP90E,2,2003,2004
SP51X,2,2007,2017
SP80Z,8,2007,2022
SP80G,2,2009,2013
SP80H,7,2011,2023
SP84L,1,2011,2011
TQ07E,1,2014,2014
SU89V,2,2016,2020
SU89W,1,2017,2017
SU79Z,3,2017,2020
SP80W,1,2017,2017
SP82I,2,2017,2017
TQ07J,1,2017,2017
SP72A,3,2017,2020
SP91N,2,2018,2020
TQ08L,1,2018,2018
TQ07B,2,2019,2019
SU89A,1,2019,2019
SU99A,1,2019,2019
SP80P,1,2019,2019
SP80B,1,2020,2020
SU79Y,1,2020,2020
SP70Q,1,2020,2020
SP70W,1,2020,2020
SP73L,2,2020,2021
SP72C,1,2021,2021
SP91M,8,2021,2024
SP62V,1,2021,2021
SP83J,1,2021,2021
SP72B,1,2021,2021
SP63M,1,2021,2021
SP91T,2,2022,2022
SP94D,4,2022,2024
SP72X,1,2022,2022
SU89H,1,2022,2022
SP84Y,2,2022,2024
SU89I,1,2023,2023
SP80I,1,2023,2023
SP61C,1,2023,2023
SP84X,1,2023,2023
SP82H,1,2024,2024
