gr,recn,yearStart,yearEnd
SU99Y,7,1905,1983
SU98X,1,1978,1978
SP80H,48,1980,2024
SP90E,122,1982,2024
SU88D,7,1985,2024
SP91T,3,1985,2021
SP70V,3,1985,2014
SU79G,5,1998,2013
SU99A,7,1999,2022
SU89J,3,2000,2022
SP92J,1,2000,2000
SU89D,5,2002,2005
SU89W,1,2003,2003
SU89C,1,2005,2005
SP91G,5,2006,2023
SP93A,1,2007,2007
TQ08J,3,2010,2010
SP81V,4,2014,2024
SU98C,1,2016,2016
SU98D,19,2016,2024
SP72A,3,2017,2020
SP91M,19,2018,2024
SP91N,4,2018,2023
SP80Z,85,2019,2024
SU79Z,18,2019,2024
SU89V,1,2020,2020
TQ07P,1,2020,2020
SU79Y,13,2020,2024
SU89I,2,2020,2022
SP91H,5,2020,2024
SU89T,2,2021,2021
SU99Q,2,2021,2021
SU98R,1,2022,2022
SP80I,3,2022,2024
SU78N,2,2022,2023
SP84Y,3,2022,2024
SP90N,3,2022,2022
SP90I,1,2022,2022
SU88C,5,2023,2024
SU89L,1,2023,2023
SU98J,1,2023,2023
SP80G,3,2023,2023
SP80F,1,2023,2023
TQ08G,1,2024,2024
SP85V,1,2024,2024
SP91S,1,2024,2024
SP80N,2,2024,2024
