gr,recn,yearStart,yearEnd
SU98S,2,1967,1969
TQ07C,2,1986,1986
SP70W,4,1987,2020
SU99J,3,1987,1987
TQ08N,2,1991,1996
SP83H,1,1996,1996
SU79G,1,1998,1998
SP91M,3,2002,2021
SP80I,4,2006,2021
SP81B,5,2007,2021
SP80Z,3,2007,2020
SP72A,2,2011,2017
SU89V,2,2016,2020
SP80G,1,2016,2016
TQ07J,1,2017,2017
TQ08F,1,2018,2018
TQ08L,1,2018,2018
SU99A,1,2019,2019
SP80P,2,2019,2019
SP80B,2,2020,2020
SU79Z,1,2020,2020
SP90E,1,2020,2020
SP91H,8,2020,2024
SU79Y,1,2021,2021
SP63M,1,2021,2021
SP84Y,15,2022,2024
SP84T,1,2023,2023
SU88C,2,2023,2023
