gr,recn,yearStart,yearEnd
SU98R,1,1967,1967
SP91G,1,1969,1969
SU88B,1,1976,1976
SU78S,1,1976,1976
SU98T,1,1980,1980
SU99Y,1,1981,1981
TQ09J,1,1983,1983
SU89H,2,1986,1986
SU98C,2,1986,1986
SP70R,3,1987,1987
SU98U,4,1991,2012
TQ08N,4,1991,2023
TQ08C,2,1991,1991
SP84K,1,1996,1996
SP83H,1,1996,1996
SU98M,1,1996,1996
SP62K,1,2006,2006
TQ08B,1,2007,2007
SP72C,1,2008,2008
SP72G,1,2008,2008
SP61P,2,2010,2017
SP72A,4,2011,2023
SP80Z,1,2012,2012
SU99I,1,2013,2013
SU99Q,1,2014,2014
SP85A,1,2015,2015
SP61A,3,2015,2017
SP85S,1,2016,2016
SP51X,1,2017,2017
SP91S,3,2017,2021
SP61S,1,2017,2017
SP91W,1,2018,2018
SP61Z,1,2018,2018
SP91R,1,2018,2018
SP70Q,1,2020,2020
SP90E,2,2020,2021
SP73L,2,2020,2021
SP72B,1,2021,2021
SU89J,1,2022,2022
SP93F,1,2022,2022
SU98D,1,2024,2024
SP92E,1,2024,2024
