gr,recn,yearStart,yearEnd
SU98W,1,1967,1967
SU89D,1,1978,1978
SU89M,1,1978,1978
SP84K,1,1996,1996
SP83H,1,1996,1996
SP83I,1,1996,1996
TQ08N,1,1996,1996
SU89N,2,1996,2024
SU79Y,1,1998,1998
SP63T,3,2001,2001
SU98M,2,2002,2002
SP80I,8,2006,2023
SP81B,1,2014,2014
SP80N,1,2017,2017
SP91G,3,2017,2024
SP90E,11,2019,2024
SP80H,2,2020,2024
SP80Z,7,2021,2024
SP60P,1,2022,2022
TQ08I,3,2022,2024
SP83K,2,2022,2022
SP94D,1,2022,2022
SP63Y,1,2022,2022
SP82W,1,2023,2023
SP83U,1,2023,2023
SU89B,1,2023,2023
SU78N,1,2024,2024
SP71D,1,2024,2024
