gr,recn,yearStart,yearEnd
SP80R,1,1923,1923
SP51X,1,1979,1979
SU88D,2,1994,1994
SP61A,3,1997,2023
SP90E,29,2003,2024
SP63T,1,2008,2008
SP80I,6,2008,2024
SP72A,6,2011,2022
SP80Z,24,2012,2024
SU98M,1,2012,2012
SU79Y,3,2012,2013
SU99I,2,2015,2018
SP80H,3,2016,2022
SP85A,1,2016,2016
SP82I,1,2017,2017
SP61S,1,2017,2017
SP91W,2,2018,2020
SU99A,1,2020,2020
SU79Z,1,2020,2020
SP62V,2,2020,2021
SP61Z,2,2021,2021
SP84Y,1,2022,2022
SP91H,4,2022,2024
SP91G,1,2022,2022
SU89P,1,2022,2022
SU89I,1,2022,2022
SP91S,1,2022,2022
TQ09C,1,2022,2022
SU88C,5,2023,2023
SP82H,1,2024,2024
