taxon,period,count
taxon,1942,1
taxon,1966,2
taxon,1968,1
taxon,1973,2
taxon,1976,2
taxon,1978,5
taxon,1979,3
taxon,1980,8
taxon,1981,4
taxon,1982,15
taxon,1983,1
taxon,1984,2
taxon,1986,8
taxon,1987,1
taxon,1989,1
taxon,1990,1
taxon,1992,4
taxon,1993,6
taxon,1994,2
taxon,1995,4
taxon,1997,2
taxon,1998,1
taxon,1999,9
taxon,2000,3
taxon,2001,2
taxon,2002,2
taxon,2003,2
taxon,2004,5
taxon,2005,1
taxon,2006,12
taxon,2007,10
taxon,2008,7
taxon,2009,5
taxon,2010,2
taxon,2011,3
taxon,2012,2
taxon,2013,9
taxon,2014,13
taxon,2015,28
taxon,2016,17
taxon,2017,42
taxon,2018,50
taxon,2019,95
taxon,2020,238
taxon,2021,124
taxon,2022,170
taxon,2023,184
taxon,2024,104
