taxon,period,count
taxon,1977,1
taxon,1978,2
taxon,1979,1
taxon,1984,2
taxon,1985,1
taxon,1986,11
taxon,1987,6
taxon,1989,1
taxon,1990,1
taxon,1991,3
taxon,1993,2
taxon,1994,5
taxon,1995,2
taxon,1996,5
taxon,2002,3
taxon,2003,4
taxon,2004,2
taxon,2005,2
taxon,2006,6
taxon,2007,7
taxon,2008,2
taxon,2009,1
taxon,2010,1
taxon,2011,3
taxon,2012,4
taxon,2013,5
taxon,2014,8
taxon,2015,3
taxon,2016,5
taxon,2017,9
taxon,2018,11
taxon,2019,9
taxon,2020,18
taxon,2021,25
taxon,2022,44
taxon,2023,13
taxon,2024,41
