taxon,period,count
taxon,1934,1
taxon,1964,1
taxon,1967,1
taxon,1968,1
taxon,1974,1
taxon,1975,2
taxon,1977,1
taxon,1978,5
taxon,1979,2
taxon,1980,8
taxon,1981,1
taxon,1983,1
taxon,1984,3
taxon,1985,3
taxon,1986,2
taxon,1987,11
taxon,1988,2
taxon,1989,2
taxon,1990,1
taxon,1991,6
taxon,1995,3
taxon,1996,3
taxon,1997,1
taxon,1998,1
taxon,1999,1
taxon,2000,1
taxon,2003,6
taxon,2004,4
taxon,2005,2
taxon,2006,3
taxon,2007,4
taxon,2008,3
taxon,2011,2
taxon,2012,3
taxon,2013,2
taxon,2014,2
taxon,2015,1
taxon,2016,2
taxon,2017,5
taxon,2018,7
taxon,2019,4
taxon,2020,16
taxon,2021,12
taxon,2022,13
taxon,2023,4
taxon,2024,9
