taxon,period,count
taxon,1900,1
taxon,1905,1
taxon,1919,1
taxon,1921,1
taxon,1977,3
taxon,1978,3
taxon,1979,3
taxon,1980,4
taxon,1981,1
taxon,1982,3
taxon,1983,1
taxon,1985,7
taxon,1989,2
taxon,1995,1
taxon,1998,2
taxon,1999,2
taxon,2000,3
taxon,2002,2
taxon,2003,8
taxon,2004,2
taxon,2005,3
taxon,2006,2
taxon,2007,1
taxon,2010,3
taxon,2013,2
taxon,2014,3
taxon,2015,2
taxon,2016,2
taxon,2017,2
taxon,2018,5
taxon,2019,27
taxon,2020,75
taxon,2021,83
taxon,2022,76
taxon,2023,52
taxon,2024,52
